Grid_ID,Latitude,Longitude,avg_speed,avg_dir
GR3_G3E41_X,34.275,128.675,0.0,0.0
GR3_G3E42_U,34.275,128.775,19.569634703196346,137.7345890410959
GR3_G3E43_B,34.225,128.575,0.0,0.0
GR3_G3F11_I,34.925,129.175,0.0,0.0
GR3_G3F12_A,34.975,129.275,0.0,0.0
GR3_G3F13_F,34.675,129.025,0.0,0.0
GR3_G3F13_K,34.625,129.025,0.0,0.0
GR3_G3F34_Y,34.025,129.475,29.51689497716895,128.98116438356163
GR3_F1L42_T,37.325,123.975,0.0,0.0
GR3_F2K32_S,37.325,126.425,0.0,0.0
GR3_F2K33_T,37.075,126.225,0.0,0.0
GR3_F2K34_V,37.025,126.325,0.0,0.0
GR3_F2N24_I,36.675,125.925,52.52431506849315,152.78424657534248
GR3_F2N24_J,36.675,125.975,0.0,0.0
GR3_F2N42_W,36.275,125.875,0.0,0.0
GR3_F2N44_S,36.075,125.925,0.0,0.0
GR3_F2O34_B,36.225,126.325,0.0,0.0
GR3_F2O34_K,36.125,126.275,0.0,0.0
GR3_F4B21_I,35.925,125.675,0.0,0.0
GR3_F4B41_N,35.375,125.675,0.0,0.0
GR3_F4C33_Y,35.025,126.225,0.0,0.0
GR3_F4E23_Y,34.525,124.725,0.0,0.0
GR3_F4F31_K,34.375,125.025,0.0,0.0
GR3_F4F44_R,34.075,125.875,52.32648401826484,224.16472602739725
GR3_F4F44_U,34.025,125.775,0.0,0.0
GR3_F4G12_U,34.775,126.275,0.0,0.0
GR3_F4G13_E,34.725,126.225,0.0,0.0
GR3_F4G14_C,34.725,126.375,0.0,0.0
GR3_F4G32_Y,34.275,126.475,0.0,0.0
GR3_F4G34_R,34.075,126.375,50.54052511415525,209.80502283105022
GR3_F4G41_Q,34.325,126.575,0.0,0.0
GR3_F4G41_W,34.275,126.625,0.0,0.0
GR3_F4G41_X,34.275,126.675,0.0,0.0
GR3_F4G42_G,34.425,126.825,0.0,0.0
GR3_F4G42_N,34.375,126.925,0.0,0.0
GR3_F4H12_X,34.775,127.425,0.0,0.0
GR3_F4H13_G,34.675,127.075,0.0,0.0
GR3_F4H21_P,34.825,127.525,0.0,0.0
GR3_F4H31_M,34.375,127.125,0.0,0.0
GR3_F4H31_S,34.325,127.175,0.0,0.0
GR3_F4H32_D,34.475,127.425,0.0,0.0
GR3_F4H41_K,34.375,127.525,0.0,0.0
GR3_F4H41_Y,34.275,127.725,0.0,0.0
GR3_F4H42_A,34.475,127.775,0.0,0.0
GR3_F4H42_B,34.475,127.825,0.0,0.0
GR3_F4H42_I,34.425,127.925,19.734132420091324,163.02945205479452
GR3_F4H42_J,34.425,127.975,0.0,0.0
GR3_F4H42_K,34.375,127.775,0.0,0.0
GR3_F4H42_Q,34.325,127.825,0.0,0.0
GR3_F4H43_F,34.175,127.525,0.0,0.0
GR3_F4H43_X,34.025,127.675,0.0,0.0
GR3_F4H44_S,34.075,127.925,0.0,0.0
GR3_F4I12_G,33.925,124.325,0.0,0.0
GR3_F4I14_Q,33.575,124.325,0.0,0.0
GR3_F4I14_W,33.525,124.375,0.0,0.0
GR3_F4I23_B,33.725,124.575,0.0,0.0
